slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
180,0.22387755102040816,70,4764,76.0,1139.5000000000002,18,8,5.582747004786887
294,0.21179591836734693,81,3205,58.0,1010.0,25,9,5.57063387874298
260,0.19893877551020409,70,5865,56.0,800.6000000000005,24,7,5.556350963514852
217,0.22344489795918368,69,5442,90.0,900.6000000000007,17,7,5.555560872749344
142,0.1946204081632653,89,3498,47.0,668.8000000000002,32,6,5.552970715802979
274,0.21497142857142856,80,2735,80.5,863.5000000000005,25,7,5.543123833680139
325,0.2226530612244898,75,4658,48.0,931.2,18,7,5.53746380395648
307,0.2133795918367347,69,4318,68.0,1121.6000000000004,21,8,5.52107612139616
286,0.21878367346938776,82,3490,56.5,1020.7,21,10,5.51696937833742
205,0.21691428571428573,76,3271,85.0,1150.0,22,9,5.504426895448547
238,0.21288979591836735,66,5565,68.5,746.5,19,6,5.500324893870009
258,0.1923673469387755,76,6366,51.0,660.5,25,6,5.489642495807146
178,0.21969795918367346,72,5490,90.0,900.8,17,7,5.467975271914987
346,0.21951020408163266,59,3570,58.0,1634.8000000000002,20,9,5.467126222106564
305,0.21041632653061224,66,5791,106.0,779.0,19,7,5.461507723279564
169,0.20536326530612245,79,5374,86.0,662.6,21,5,5.452508048920821
175,0.22300408163265306,75,4036,94.0,862.6,18,6,5.4521005538380045
292,0.20488163265306122,74,3889,53.0,1059.8000000000006,24,8,5.451440668637807
173,0.2244,68,6340,102.0,928.6000000000008,15,7,5.446959242512542
330,0.23676734693877552,66,3988,71.5,1310.5,15,8,5.442891438319452
140,0.1986530612244898,84,3691,58.5,679.9000000000001,27,6,5.437228298587124
185,0.22954285714285713,73,4854,88.0,1090.3999999999999,15,9,5.401850374439703
168,0.2098204081632653,74,5376,90.5,792.3000000000003,19,6,5.399308216496035
139,0.20177142857142857,87,5069,57.0,641.4000000000003,22,5,5.397224794787617
145,0.18598367346938777,94,3712,43.5,564.2000000000002,33,6,5.390784561769257
338,0.2377877551020408,63,4194,75.0,1721.6000000000022,14,8,5.3715310383152834
150,0.18278367346938776,86,6451,43.5,638.5,27,6,5.342873264650572
272,0.20893061224489795,80,2278,91.0,856.7000000000014,26,8,5.323914799485162
281,0.2127673469387755,75,3640,83.0,1043.000000000003,20,8,5.311763527460205
234,0.20951020408163265,77,4713,66.0,643.4000000000001,19,7,5.308732670150039
240,0.21950204081632654,65,5076,112.0,903.6000000000001,16,6,5.306313527271514
141,0.19580408163265306,88,3385,47.5,641.1,27,6,5.302800236063905
269,0.19413061224489797,91,2597,51.0,760.0,31,8,5.28993082880374
218,0.22419591836734695,66,4102,97.5,1294.5,16,8,5.284486990583359
321,0.20977142857142858,78,4486,76.5,752.1999999999994,19,5,5.284337743177273
257,0.19259591836734694,72,6296,47.5,714.3,22,6,5.28266837819571
246,0.20394285714285715,75,4357,91.0,908.0000000000017,21,7,5.282572800200634
166,0.21110204081632652,68,4186,87.5,677.6,19,6,5.2740947670442395
341,0.21689795918367347,65,4430,114.0,1381.2000000000016,17,7,5.263823101917546
147,0.17906938775510203,103,4153,39.0,500.7999999999998,33,7,5.261242309927063
237,0.2082204081632653,74,4992,59.0,697.5000000000001,18,6,5.220966513895511
268,0.18693877551020407,92,2938,45.5,743.9,32,6,5.219797273245351
160,0.18379591836734693,76,6752,44.0,658.5,24,4,5.216719429369747
239,0.22259591836734693,65,5709,68.0,913.2000000000002,14,6,5.214212480582071
247,0.20324897959183674,76,4473,70.5,744.0,20,6,5.201623440642486
324,0.22205714285714287,64,4647,76.5,1105.4,15,8,5.198862302577405
164,0.20131428571428572,71,5463,60.0,584.0,19,5,5.190099991286873
154,0.1829795918367347,75,7387,56.0,675.6000000000008,23,5,5.179945756195004
293,0.2097387755102041,74,2899,80.0,1088.9000000000008,21,8,5.168641076377844
157,0.17737142857142857,79,6904,55.0,586.2,26,5,5.1677522955107635
216,0.22288979591836736,72,5220,86.0,835.2999999999998,14,7,5.167056374858536
249,0.20600816326530613,72,4223,134.5,775.1999999999999,19,5,5.15226090843838
271,0.20591020408163266,76,2331,87.5,1205.0,24,9,5.139665546469249
255,0.18966530612244897,75,3968,70.0,774.4000000000003,25,7,5.120482618754458
299,0.20811428571428572,61,3684,97.0,1484.0,19,7,5.119825939076691
161,0.18421224489795918,72,6037,51.0,639.1999999999999,23,4,5.096708933377208
152,0.18386938775510203,78,6884,55.0,693.3999999999999,22,6,5.094777516825129
245,0.2054530612244898,73,4509,110.0,835.5999999999997,18,6,5.090030550361453
244,0.21231020408163265,68,4710,122.0,903.2000000000002,16,6,5.087449797082894
261,0.20004081632653062,72,5596,72.0,1012.0999999999997,18,8,5.083130606664523
167,0.21275918367346938,64,5395,91.5,753.1000000000003,15,5,5.069200431882953
148,0.177665306122449,91,5741,49.0,449.0,26,5,5.068315604251893
273,0.21228571428571427,76,2249,86.5,928.5,21,7,5.064879120138908
302,0.20063673469387755,74,2813,76.0,1021.4000000000002,23,8,5.064322928894876
155,0.1767265306122449,83,6544,44.0,683.3999999999996,25,5,5.059172320981567
215,0.22289795918367347,69,5388,94.0,907.2000000000005,13,7,5.05423003237005
304,0.20946122448979593,61,3143,117.0,1514.0,19,8,5.053332555139452
322,0.2160326530612245,70,4590,75.0,906.4,15,5,5.050424527285757
298,0.20546938775510204,69,3851,94.0,1078.4000000000012,18,7,4.995024965540641
339,0.2330938775510204,60,4153,98.0,1824.5000000000002,12,7,4.9813826672356445
